SO;Rank;Freq;cumFreq;Zone
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS;195;4;2252;Zone 2
IET GENERATION TRANSMISSION & DISTRIBUTION;196;4;2256;Zone 2
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS;197;4;2260;Zone 2
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES;198;4;2264;Zone 2
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS;199;4;2268;Zone 2
ISA TRANSACTIONS;200;4;2272;Zone 2
JOURNAL OF CLINICAL MONITORING AND COMPUTING;201;4;2276;Zone 2
JOURNAL OF COMPUTING IN CIVIL ENGINEERING;202;4;2280;Zone 2
JOURNAL OF ECONOMETRICS;203;4;2284;Zone 2
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL;204;4;2288;Zone 2
JOURNAL OF MEDICAL INTERNET RESEARCH;205;4;2292;Zone 2
JOURNAL OF SUPERCRITICAL FLUIDS;206;4;2296;Zone 2
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION;207;4;2300;Zone 2
JOURNAL OF THE ELECTROCHEMICAL SOCIETY;208;4;2304;Zone 2
KINETIC AND RELATED MODELS;209;4;2308;Zone 2
MATHEMATICS AND COMPUTERS IN SIMULATION;210;4;2312;Zone 2
MIS QUARTERLY;211;4;2316;Zone 2
NATURE COMMUNICATIONS;212;4;2320;Zone 2
NEURAL COMPUTING & APPLICATIONS;213;4;2324;Zone 2
NEUROIMAGE;214;4;2328;Zone 2
PEERJ;215;4;2332;Zone 3
PHYSICS IN MEDICINE AND BIOLOGY;216;4;2336;Zone 3
POLYMERS;217;4;2340;Zone 3
PROCEEDINGS OF THE IEEE;218;4;2344;Zone 3
QUANTITATIVE FINANCE;219;4;2348;Zone 3
SECULARISM & NONRELIGION;220;4;2352;Zone 3
SENSORS AND ACTUATORS B-CHEMICAL;221;4;2356;Zone 3
SOCIAL NETWORKS;222;4;2360;Zone 3
SYNTHESE;223;4;2364;Zone 3
TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH;224;4;2368;Zone 3
TRANSPORTATION RESEARCH RECORD;225;4;2372;Zone 3
TRANSPORTMETRICA B-TRANSPORT DYNAMICS;226;4;2376;Zone 3
ULTRASOUND IN MEDICINE AND BIOLOGY;227;4;2380;Zone 3
WATER;228;4;2384;Zone 3
ACCIDENT ANALYSIS AND PREVENTION;229;3;2387;Zone 3
ADVANCED ROBOTICS;230;3;2390;Zone 3
AEROSPACE SCIENCE AND TECHNOLOGY;231;3;2393;Zone 3
AMERICAN JOURNAL OF DENTISTRY;232;3;2396;Zone 3
AMERICAN JOURNAL OF SOCIOLOGY;233;3;2399;Zone 3
AMERICAN NATURALIST;234;3;2402;Zone 3
ANALYTICA CHIMICA ACTA;235;3;2405;Zone 3
ANNALS OF PHARMACOTHERAPY;236;3;2408;Zone 3
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY;237;3;2411;Zone 3
APPLIED OPTICS;238;3;2414;Zone 3
ARTIFICIAL INTELLIGENCE REVIEW;239;3;2417;Zone 3
ATMOSPHERIC CHEMISTRY AND PHYSICS;240;3;2420;Zone 3
BIOMECHANICS AND MODELING IN MECHANOBIOLOGY;241;3;2423;Zone 3
BMC INFECTIOUS DISEASES;242;3;2426;Zone 3
BMC MEDICAL RESEARCH METHODOLOGY;243;3;2429;Zone 3
BRAIN RESEARCH;244;3;2432;Zone 3
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY;245;3;2435;Zone 3
CEMENT & CONCRETE COMPOSITES;246;3;2438;Zone 3
CERAMICS INTERNATIONAL;247;3;2441;Zone 3
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE;248;3;2444;Zone 3
CHINESE JOURNAL OF AERONAUTICS;249;3;2447;Zone 3
CHINESE JOURNAL OF CHEMICAL ENGINEERING;250;3;2450;Zone 3
CHINESE JOURNAL OF PHYSICS;251;3;2453;Zone 3
CLINICAL TRIALS;252;3;2456;Zone 3
COGNITION;253;3;2459;Zone 3
COGNITIVE COMPUTATION;254;3;2462;Zone 3
COMBUSTION AND FLAME;255;3;2465;Zone 3
COMPOSITES PART B-ENGINEERING;256;3;2468;Zone 3
COMPUTER COMMUNICATIONS;257;3;2471;Zone 3
COMPUTERS & CHEMICAL ENGINEERING;258;3;2474;Zone 3
COMPUTERS & EDUCATION;259;3;2477;Zone 3
COMPUTERS & MATHEMATICS WITH APPLICATIONS;260;3;2480;Zone 3
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE;261;3;2483;Zone 3
CONNECTION SCIENCE;262;3;2486;Zone 3
CONTROL ENGINEERING PRACTICE;263;3;2489;Zone 3
DALTON TRANSACTIONS;264;3;2492;Zone 3
DEMOGRAPHIC RESEARCH;265;3;2495;Zone 3
DRUG AND CHEMICAL TOXICOLOGY;266;3;2498;Zone 3
ECOLOGICAL ECONOMICS;267;3;2501;Zone 3
ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH;268;3;2504;Zone 3
ECOSPHERE;269;3;2507;Zone 3
ELECTRICAL ENGINEERING IN JAPAN;270;3;2510;Zone 3
ELECTROPHORESIS;271;3;2513;Zone 3
