Element;h_index;g_index;m_index;TC;NP;PY_start
BAOYIN HX;1;1;0,250;4;1;2019
BAPNA R;1;1;0,053;173;1;2004
BAPTESTINI EM;1;1;0,100;12;1;2013
BAPTISTA M;1;1;0,111;6;1;2014
BAQUERIZO A;1;1;0,091;35;1;2012
BAR-YAM Y;1;1;0,100;12;1;2013
BARAANI-DASTJERDI A;1;1;0,071;15;1;2009
BARAKOVA E;2;2;0,111;17;2;2005
BARAKOVA EI;1;1;0,071;12;1;2009
BARANDIARAN XE;1;1;0,125;7;1;2015
BARAS JS;1;1;0,125;4;1;2015
BARBALIOS N;1;1;0,100;11;1;2013
BARBERIS M;1;1;0,500;1;1;2021
BARBETTE AC;1;1;0,111;3;1;2014
BARBIERI ARM;1;1;0,250;14;1;2019
BARBIERI JF;1;1;0,048;7;1;2002
BARDHAN NM;1;1;0,167;32;1;2017
BARDUNIAS P;1;1;0,167;16;1;2017
BARLOW M;1;1;0,167;6;1;2017
BARLOW ND;1;1;0,033;31;1;1993
BARNABE C;1;1;0,050;86;1;2003
BARNAWI A;1;1;0,500;3;1;2021
BARNER-KOWOLLIK C;5;6;0,227;493;6;2001
BARO R;1;1;0,200;12;1;2018
BARONCHELLI A;1;1;0,067;62;1;2008
BAROUDI U;1;1;0,143;16;1;2016
BARRAT A;2;2;0,286;12;2;2016
BARRETT L;1;1;0,167;7;1;2017
BARRETT S;1;1;0,167;15;1;2017
BARRIENTOS A;1;1;0,250;3;1;2019
BARRIO RA;1;1;0,071;53;1;2009
BARRIOS P;1;1;0,200;36;1;2018
BARRON JM;1;1;0,059;11;1;2006
BARROS AMG;1;1;0,167;57;1;2017
BARROS APO;1;1;0,500;1;1;2021
BARROS IR;1;1;0,250;14;1;2019
BARTELS M;1;1;0,167;16;1;2017
BARTHELEMY J;2;2;0,250;14;2;2015
BARTOLINO V;1;1;0,167;18;1;2017
BARTOLO D;1;1;0,100;494;1;2013
BARTOLOMEO P;1;1;0,063;12;1;2007
