,RunId,iteration,Step,defect_multiplier,width,height,schedule_type,payoffs,seed,Cooperating,Defecting
561,561,28,100,1,50,50,Random,,,2299,201
562,562,28,100,2,50,50,Random,,,0,2500
563,563,28,100,3,50,50,Random,,,0,2500
564,564,28,100,4,50,50,Random,,,0,2500
565,565,28,100,5,50,50,Random,,,0,2500
566,566,28,100,6,50,50,Random,,,0,2500
567,567,28,100,7,50,50,Random,,,0,2500
568,568,28,100,8,50,50,Random,,,0,2500
569,569,28,100,9,50,50,Random,,,0,2500
570,570,28,100,10,50,50,Random,,,0,2500
571,571,28,100,11,50,50,Random,,,0,2500
572,572,28,100,12,50,50,Random,,,0,2500
573,573,28,100,13,50,50,Random,,,0,2500
574,574,28,100,14,50,50,Random,,,0,2500
